params.scoring_method,dataset,selected_ensemble_accuracy,kne_test_acc,bagging_test_acc,ola_test_acc,mcb_test_acc,desp_test_acc,knorau_test_acc,method_best
diversity,adult,1.0,6.0,2.0,4.0,3.0,5.0,0.0,False
diversity,appendicitis,2.0,5.0,0.0,6.0,4.0,3.0,1.0,False
diversity,automobile,0.0,6.0,3.0,5.0,4.0,2.0,1.0,True
diversity,balance,0.0,3.0,5.0,6.0,1.0,4.0,2.0,True
diversity,banana,5.0,4.0,6.0,3.0,2.0,1.0,0.0,False
diversity,bands,0.0,1.0,2.0,4.0,5.0,6.0,3.0,True
diversity,breast,2.0,4.0,1.0,5.0,6.0,3.0,0.0,False
diversity,bupa,0.0,6.0,1.0,3.0,5.0,4.0,2.0,True
diversity,car,5.0,2.0,6.0,0.0,1.0,3.0,4.0,False
diversity,chess,5.0,0.0,6.0,1.0,3.0,2.0,4.0,False
diversity,cleveland,0.0,6.0,1.0,4.0,5.0,3.0,2.0,True
diversity,coil2000,1.0,6.0,0.0,5.0,4.0,3.0,2.0,False
diversity,crx,1.0,6.0,0.0,4.0,5.0,3.0,2.0,False
diversity,dermatology,1.0,0.0,4.0,6.0,5.0,3.0,2.0,False
diversity,fars,5.0,4.0,6.0,1.0,2.0,3.0,0.0,False
diversity,flare,1.0,6.0,3.0,5.0,4.0,0.0,2.0,False
diversity,german,0.0,6.0,1.0,5.0,4.0,3.0,2.0,True
diversity,glass,5.0,0.0,6.0,1.0,2.0,4.0,3.0,False
diversity,haberman,1.0,6.0,3.0,5.0,4.0,2.0,0.0,False
diversity,heart,0.0,6.0,2.0,4.0,3.0,5.0,1.0,True
diversity,hepatitis,3.0,4.0,2.0,5.0,6.0,0.0,1.0,False
diversity,housevotes,0.0,4.0,2.0,6.0,5.0,3.0,1.0,True
diversity,ionosphere,1.0,0.0,4.0,6.0,5.0,3.0,2.0,False
diversity,led7digit,3.0,6.0,0.0,5.0,4.0,1.0,2.0,False
diversity,letter,6.0,0.0,5.0,2.0,3.0,4.0,1.0,False
diversity,lymphography,6.0,0.0,2.0,5.0,4.0,2.0,1.0,False
diversity,magic,5.0,4.0,6.0,2.0,3.0,0.0,1.0,False
diversity,mammographic,4.0,6.0,5.0,3.0,2.0,0.0,1.0,False
diversity,marketing,3.0,6.0,2.0,4.0,5.0,1.0,0.0,False
diversity,movement_libras,6.0,0.0,5.0,2.0,1.0,4.0,3.0,False
diversity,mushroom,5.0,0.0,6.0,1.0,2.0,3.0,4.0,False
diversity,newthyroid,3.0,2.0,6.0,0.0,1.0,5.0,4.0,False
diversity,penbased,5.0,0.0,6.0,1.0,2.0,4.0,3.0,False
diversity,phoneme,5.0,0.0,6.0,2.0,3.0,1.0,4.0,False
diversity,pima,5.0,4.0,6.0,3.0,2.0,1.0,0.0,False
diversity,ring,1.0,0.0,3.0,4.0,2.0,6.0,5.0,False
diversity,saheart,1.0,6.0,0.0,5.0,4.0,3.0,2.0,False
diversity,satimage,5.0,0.0,6.0,2.0,3.0,4.0,1.0,False
diversity,segment,5.0,0.0,6.0,2.0,1.0,4.0,3.0,False
diversity,shuttle,5.0,0.0,6.0,2.0,1.0,4.0,3.0,False
diversity,sonar,5.0,0.0,6.0,1.0,3.0,4.0,2.0,False
diversity,spambase,5.0,0.0,6.0,1.0,2.0,3.0,4.0,False
diversity,spectfheart,2.0,6.0,0.0,5.0,4.0,3.0,1.0,False
diversity,splice,4.0,2.0,3.0,5.0,6.0,1.0,0.0,False
