params.scoring_method,dataset,selected_ensemble_accuracy,kne_test_acc,bagging_test_acc,ola_test_acc,mcb_test_acc,desp_test_acc,knorau_test_acc,best,is_method_best,difference_method_to_best
diversity,adult,0.786741770899924,0.7207059315457882,0.7864072595398056,0.7682720799610808,0.7684329027303686,0.7650174291676216,0.789379264316242,0.789379264316242,False,-0.0026374934163179153
diversity,appendicitis,0.8613467197507357,0.8084299809589753,0.8775142807685651,0.8013501817552363,0.8184697940107323,0.8596676475679419,0.8691189198545958,0.8775142807685651,False,-0.016167561017829346
diversity,automobile,0.44340826047239984,0.36907298055591803,0.41345360824742267,0.3731945713167167,0.38203428813780504,0.4180604854495628,0.4185446300404541,0.44340826047239984,True,0.0
diversity,balance,0.8875835566998864,0.8817979705990664,0.8750343375832313,0.8716885286441287,0.8848522928854212,0.8778693031958834,0.8831872837631847,0.8875835566998864,True,0.0
diversity,banana,0.635011251514627,0.8664379435693266,0.5729399342219145,0.8857704691016098,0.8858424787952225,0.891056603773585,0.8917019214124978,0.8917019214124978,False,-0.2566906698978708
diversity,bands,0.6418936255001829,0.6398121004678382,0.6340768521096389,0.6058681755403067,0.6051186518399634,0.6043805920855102,0.6197739419050895,0.6418936255001829,True,0.0
diversity,breast,0.7233016748656411,0.6684827631965573,0.724554269627776,0.6665254357778599,0.6642538933280253,0.7091089183988778,0.7254059203230301,0.7254059203230301,False,-0.0021042454573889646
diversity,bupa,0.6886381146908436,0.6410098430195217,0.6723110309529855,0.6601329703813236,0.6490981588524941,0.6503008419092571,0.6718648090892344,0.6886381146908436,True,0.0
diversity,car,0.7091645622895623,0.8117424242424242,0.6907617845117845,0.8265046296296297,0.8150462962962963,0.7773674242424242,0.7657196969696969,0.8265046296296297,False,-0.11734006734006741
diversity,chess,0.9642782644972883,0.9826235340471886,0.9626002410420432,0.9702625967644741,0.9685892087331387,0.9686326658322904,0.9680712001112503,0.9826235340471886,False,-0.018345269549900345
diversity,cleveland,0.5437391784707221,0.4118451428854113,0.543653842982702,0.4579930907112115,0.4549181274013489,0.500993107201161,0.5252502349817787,0.5437391784707221,True,0.0
diversity,coil2000,0.9399985156343665,0.9027416994464077,0.9400925254578221,0.9146147214816253,0.915828856448522,0.9360200351299867,0.9398717736456591,0.9400925254578221,False,-9.4009823455532e-05
diversity,crx,0.6866334590345397,0.6304042564441056,0.6897098127103193,0.6518502126004799,0.6510460318841025,0.6591308196503222,0.6839979976497116,0.6897098127103193,False,-0.0030763536757796306
diversity,dermatology,0.9307262569832402,0.937328593194515,0.9152869476891823,0.9091416962925343,0.9115794819705434,0.9238699847638395,0.9267140680548501,0.937328593194515,False,-0.006602336211274817
diversity,fars,0.6554150369874163,0.6953618068010746,0.654926133212323,0.7116306876706211,0.7113686784651843,0.7033699245845668,0.7126936707219569,0.7126936707219569,False,-0.05727863373454056
diversity,flare,0.7293147666833055,0.6909633888152572,0.710363702084445,0.7048711637433946,0.7060226861972219,0.7325593404134465,0.7279239891904917,0.7325593404134465,False,-0.003244573730140976
diversity,german,0.7000363636363636,0.612890909090909,0.7,0.6468727272727274,0.6468909090909092,0.6494,0.6788363636363637,0.7000363636363636,True,0.0
diversity,glass,0.4175870858113849,0.6945624468988955,0.346304163126593,0.6338147833474936,0.6315208156329651,0.5836023789294816,0.6164825828377231,0.6945624468988955,False,-0.2769753610875106
diversity,haberman,0.7482471776589423,0.674331550802139,0.7351752822341058,0.707961972667855,0.7122400475341651,0.7372549019607844,0.7516339869281046,0.7516339869281046,False,-0.0033868092691622387
diversity,heart,0.7007407407407407,0.6651178451178451,0.6893602693602694,0.6683501683501684,0.6695622895622895,0.667003367003367,0.6971717171717172,0.7007407407407407,True,0.0
diversity,hepatitis,0.8056818181818182,0.798409090909091,0.82,0.7981818181818182,0.7843181818181818,0.821590909090909,0.8206818181818182,0.821590909090909,False,-0.015909090909090873
diversity,housevotes,0.9545454545454546,0.9357889237199583,0.9423719958202716,0.925,0.9267241379310345,0.9418495297805644,0.9433385579937305,0.9545454545454546,True,0.0
diversity,ionosphere,0.8478051948051948,0.8638479929161746,0.84303453364817,0.8335649350649351,0.8374433293978749,0.8439126328217238,0.8470242030696576,0.8638479929161746,False,-0.01604279811097986
diversity,led7digit,0.7229454545454546,0.6365090909090909,0.7313818181818181,0.6940363636363636,0.6969090909090909,0.7308727272727273,0.7298181818181818,0.7313818181818181,False,-0.008436363636363575
diversity,letter,0.6530690909090909,0.9137890909090909,0.6896318181818182,0.8855627272727273,0.8739118181818182,0.8499845454545454,0.8910009090909091,0.9137890909090909,False,-0.26071999999999995
diversity,lymphography,0.7432432432432432,0.8013513513513514,0.7905405405405406,0.758108108108108,0.7702702702702703,0.7905405405405406,0.7918918918918919,0.8013513513513514,False,-0.05810810810810818
diversity,magic,0.7555253282397091,0.774024156127302,0.7485896063052895,0.7917458204304499,0.7915663859385099,0.8019585371265399,0.7920417908719938,0.8019585371265399,False,-0.04643320888683078
diversity,mammographic,0.7732393725846783,0.7436280972948398,0.7650716071834508,0.7863196180950216,0.787899522618777,0.8009752216412821,0.7987860877472153,0.8009752216412821,False,-0.027735849056603756
diversity,marketing,0.3057118624716609,0.2819632692339058,0.3118401809354493,0.29569870550689653,0.29511724377898474,0.3214398721273507,0.32428955108653695,0.32428955108653695,False,-0.018577688614876076
